order_id,order_date,region,channel,product,quantity,unit_price,discount,revenue,customer_age,customer_income,satisfaction
SO-2400,2024-01-02,West,Retail,Pulse Headset,6,93.8,0.1,506.54,45,63800.0,3.1
SO-2401,2024-01-03,South,Partner,Nimbus Tablet,8,674.23,0.0,5393.88,21,19600.0,4.5
SO-2402,2024-01-04,South,Retail,Vertex Monitor,3,333.05,0.0,999.14,25,26700.0,4.1
SO-2403,2024-01-05,North,Online,Cobalt Keyboard,9,71.75,0.0,645.72,65,75100.0,5.0
SO-2404,2024-01-06,North,Online,Flux Webcam,5,52.46,0.0,262.29,43,48500.0,3.9
SO-2405,2024-01-07,South,Retail,Nimbus Tablet,2,582.49,0.05,1106.72,46,56300.0,3.7
SO-2406,2024-01-08,North,Retail,Aurora Laptop,7,1464.07,0.1,9223.64,64,74400.0,3.8
SO-2407,2024-01-09,West,Online,Nimbus Tablet,7,610.0,0.05,4056.5,22,26200.0,3.8
SO-2408,2024-01-10,North,Retail,Vertex Monitor,3,319.6,0.0,958.81,26,26400.0,3.6
SO-2409,2024-01-11,North,Online,Nimbus Tablet,11,651.73,0.0,7168.99,65,85500.0,3.4
SO-2410,2024-01-12,East,Online,Pulse Headset,3,91.76,0.0,275.27,59,69600.0,4.3
SO-2411,2024-01-13,South,Retail,Pulse Headset,11,101.26,0.05,1058.18,37,41100.0,5.0
SO-2412,2024-01-14,West,Online,Aurora Laptop,6,1454.19,0.0,8725.17,61,72000.0,4.4
SO-2413,2024-01-15,South,Online,Pulse Headset,4,95.43,0.0,381.71,51,53700.0,5.0
SO-2414,2024-01-16,South,Retail,Aurora Laptop,7,1409.53,0.0,9866.68,29,31100.0,3.5
SO-2415,2024-01-17,South,Online,Vertex Monitor,8,307.12,0.05,2334.08,26,31600.0,4.7
SO-2416,2024-01-18,East,Retail,Flux Webcam,2,52.24,0.0,104.49,27,33000.0,4.3
SO-2417,2024-01-19,South,Partner,Cobalt Keyboard,2,67.32,0.0,134.64,67,89600.0,4.7
SO-2418,2024-01-20,East,Online,Pulse Headset,5,93.5,0.0,467.48,57,66500.0,4.4
SO-2419,2024-01-21,North,Online,Vertex Monitor,7,303.89,0.0,2127.22,47,57200.0,3.7
SO-2420,2024-01-22,East,Online,Nimbus Tablet,1,683.17,0.0,6148.53,29,27800.0,
SO-2421,2024-01-23,North,Online,Vertex Monitor,7,306.81,0.05,2040.32,62,80400.0,4.3
SO-2422,2024-01-24,East,Online,Nimbus Tablet,5,643.43,0.0,3217.15,61,70000.0,3.8
SO-2423,2024-01-25,North,Retail,Cobalt Keyboard,3,68.26,0.15,174.07,21,36700.0,4.6
SO-2424,2024-01-26,East,Retail,Nimbus Tablet,1,529.45,0.0,529.45,42,38300.0,3.7
SO-2425,2024-01-27,East,Retail,Nimbus Tablet,4,716.77,0.1,2580.37,62,81600.0,4.1
SO-2426,2024-01-28,East,Retail,Cobalt Keyboard,2,68.0,0.1,122.41,66,76200.0,4.4
SO-2427,2024-01-29,East,Online,Nimbus Tablet,10,602.9,0.0,6029.0,46,52500.0,4.3
SO-2428,2024-01-30,South,Online,Nimbus Tablet,10,660.77,0.0,6607.71,34,32700.0,4.3
SO-2429,2024-01-31,North,Partner,Aurora Laptop,3,1557.64,0.0,4672.93,43,54200.0,4.2
SO-2430,2024-02-01,South,Partner,Vertex Monitor,6,301.16,0.0,1806.96,31,43700.0,3.0
SO-2431,2024-02-02,West,Online,Nimbus Tablet,4,594.21,0.15,2020.3,37,35100.0,2.7
SO-2432,2024-02-03,South,Online,Flux Webcam,6,49.7,0.05,283.26,24,29400.0,4.8
SO-2433,2024-02-04,North,Online,Vertex Monitor,6,315.42,0.1,1703.28,65,71900.0,4.9
SO-2434,2024-02-05,East,Online,Cobalt Keyboard,10,68.56,0.1,617.0,36,43900.0,4.6
SO-2435,2024-02-06,West,Online,Pulse Headset,3,98.72,0.0,296.17,43,52100.0,4.7
SO-2436,2024-02-07,North,Partner,Vertex Monitor,7,308.24,0.1,1941.88,42,41500.0,3.9
SO-2437,2024-02-08,North,Retail,Flux Webcam,6,50.67,0.05,288.8,66,66000.0,2.5
SO-2438,2024-02-09,South,Online,Flux Webcam,3,52.31,0.05,149.08,47,53900.0,3.9
SO-2439,2024-02-10,North,Retail,Aurora Laptop,4,1408.57,0.15,4789.15,44,56300.0,4.9
SO-2440,2024-02-11,East,Retail,Nimbus Tablet,9,640.46,0.1,5187.73,23,19300.0,3.9
SO-2441,2024-02-12,East,Online,Nimbus Tablet,5,632.92,0.05,3006.38,51,59500.0,3.9
SO-2442,2024-02-13,South,Partner,Flux Webcam,7,53.45,0.15,318.0,62,76600.0,4.5
SO-2443,2024-02-14,South,Online,Pulse Headset,7,97.15,0.0,680.04,58,64000.0,3.8
SO-2444,2024-02-15,East,Online,Vertex Monitor,4,303.5,0.0,1214.0,25,21600.0,3.9
SO-2445,2024-02-16,North,Retail,Cobalt Keyboard,10,62.14,0.0,621.42,59,66800.0,3.7
SO-2446,2024-02-17,East,Retail,Vertex Monitor,11,329.64,0.0,3626.06,53,66900.0,4.0
SO-2447,2024-02-18,North,Online,Pulse Headset,4,100.15,0.0,400.61,53,62000.0,4.4
SO-2448,2024-02-19,South,Retail,Nimbus Tablet,1,596.95,0.0,596.95,41,55900.0,5.0
SO-2449,2024-02-20,North,Retail,Aurora Laptop,6,1515.19,0.0,9091.16,35,33100.0,5.0
SO-2450,2024-02-21,West,Partner,Pulse Headset,9,95.74,0.0,861.63,36,56800.0,3.8
SO-2451,2024-02-22,West,Online,Vertex Monitor,2,308.86,0.15,525.07,55,66400.0,4.0
SO-2452,2024-02-23,South,Partner,Vertex Monitor,3,309.9,0.0,929.69,24,23500.0,4.5
SO-2453,2024-02-24,South,Retail,Nimbus Tablet,9,594.25,0.15,4545.98,32,46000.0,3.8
SO-2454,2024-02-25,North,Partner,Nimbus Tablet,6,615.94,0.0,3695.66,24,25100.0,2.8
SO-2455,2024-02-26,South,Online,Pulse Headset,5,95.25,0.0,476.24,39,41300.0,5.0
SO-2456,2024-02-27,North,Partner,Vertex Monitor,10,313.15,0.0,3131.47,54,60300.0,3.5
SO-2457,2024-02-28,South,Partner,Vertex Monitor,11,300.29,0.15,2807.74,34,23700.0,4.2
SO-2458,2024-02-29,South,Online,Nimbus Tablet,5,631.87,0.1,2843.41,61,76000.0,4.0
SO-2459,2024-03-01,East,Retail,Pulse Headset,9,92.23,0.15,705.58,63,72800.0,4.2
SO-2460,2024-03-02,West,Online,Pulse Headset,9,92.6,0.0,833.42,56,62800.0,3.8
SO-2461,2024-03-03,West,Online,Vertex Monitor,9,311.23,0.0,2801.06,61,64800.0,4.2
SO-2462,2024-03-04,West,Online,Vertex Monitor,2,302.82,0.15,514.79,50,67700.0,
SO-2463,2024-03-05,East,Online,Flux Webcam,8,49.31,0.15,335.32,38,43900.0,4.2
SO-2464,2024-03-06,South,Partner,Aurora Laptop,10,1411.56,0.0,14115.61,55,61800.0,
SO-2465,2024-03-07,East,Partner,Vertex Monitor,2,299.1,0.0,598.2,64,80000.0,3.9
SO-2466,2024-03-08,East,Online,Pulse Headset,11,95.6,0.0,1051.6,32,33800.0,4.5
SO-2467,2024-03-09,East,Partner,Pulse Headset,10,98.19,0.05,932.82,47,51600.0,4.1
SO-2468,2024-03-10,South,Online,Aurora Laptop,7,1492.07,0.0,10444.49,54,68700.0,4.6
SO-2469,2024-03-11,North,Retail,Nimbus Tablet,6,599.04,0.0,3594.24,45,57000.0,3.9
SO-2470,2024-03-12,East,Partner,Aurora Laptop,3,1423.62,0.15,3630.23,50,62200.0,5.0
SO-2471,2024-03-13,South,Partner,Aurora Laptop,8,1468.94,0.0,11751.53,24,31600.0,
SO-2472,2024-03-14,West,Partner,Vertex Monitor,4,284.78,0.15,968.26,61,71500.0,3.7
SO-2473,2024-03-15,North,Retail,Vertex Monitor,9,323.15,0.0,2908.34,41,42100.0,3.9
SO-2474,2024-03-16,South,Online,Cobalt Keyboard,1,72.12,0.0,72.12,52,60400.0,4.4
SO-2475,2024-03-17,South,Online,Aurora Laptop,1,1499.46,0.1,1349.51,56,76600.0,3.7
SO-2476,2024-03-18,South,Online,Cobalt Keyboard,4,60.55,0.05,230.09,43,48500.0,4.6
SO-2477,2024-03-19,West,Online,Vertex Monitor,11,313.99,0.05,3281.14,61,78000.0,3.9
SO-2478,2024-03-20,West,Online,Pulse Headset,5,86.15,0.15,366.14,32,33100.0,4.2
SO-2479,2024-03-21,South,Retail,Nimbus Tablet,1,648.35,0.05,615.94,27,33400.0,3.8
SO-2480,2024-03-22,South,Online,Cobalt Keyboard,11,60.56,0.0,666.19,39,41300.0,5.0
SO-2481,2024-03-23,West,Online,Vertex Monitor,10,287.82,0.0,2878.19,56,67100.0,3.4
SO-2482,2024-03-24,West,Retail,Vertex Monitor,10,315.36,0.05,2995.96,43,47200.0,3.5
SO-2483,2024-03-25,North,Retail,Pulse Headset,6,88.15,0.05,502.44,62,62100.0,4.7
SO-2484,2024-03-26,North,Online,Nimbus Tablet,2,533.99,0.0,1067.98,64,73200.0,4.1
SO-2485,2024-03-27,South,Online,Vertex Monitor,5,292.9,0.0,1464.51,59,75100.0,4.5
SO-2486,2024-03-28,North,Online,Nimbus Tablet,1,633.2,0.0,633.2,43,46400.0,4.9
SO-2487,2024-03-29,North,Retail,Cobalt Keyboard,9,63.91,0.0,575.22,22,22400.0,
SO-2488,2024-03-30,West,Online,Aurora Laptop,11,1369.07,0.1,13553.75,24,25300.0,3.6
SO-2489,2024-03-31,North,Retail,Nimbus Tablet,8,624.86,0.0,4998.85,49,54700.0,4.1
